question,correct_answer,model_answer,confidence_score,sentence_transformer_score,f1_score,human
Τι χρειαζόμαστε για να φτιάξουμε εσπρέσο;,Ζεστά φλιτζάνια και ζεστή μηχανή, ζεστά φλιτζάνια και ζεστή μηχανή.,0.947444439,1,0.909,yes
Τι κάνει η μεσογειακή φώκια για να βρει φαγητό;,Βουτάει σε βάθη αρκετών δεκάδων μέτρων, βουτάει σε βάθη,0.333797216,0.43,0.6,partially
Τι είπε ο δήμαρχος όταν πήρε τηλέφωνο ο Νίκος Παπάζογλου στο δημαρχείο της Καλαμάτας ;,«Τι λέτε κύριε Παπάζογλου; Θα έρθετε από τη Θεσσαλονίκη να μας τραγουδήσετε και θα μας δώσετε και λεφτά;», «Τι λέτε κύριε Παπάζογλου;,0.014942264,0.428,0.348,partially
Τι μπορούμε να κάνουμε σαν κοινωνία σύμφωνα με την δρ. Μιρέιγ Τολεντάνο;,Να παρακολουθούμε την υγεία ενός μεγάλου αριθμού χρηστών κινητού για ένα μεγάλο χρονικό διάστημα, να αρχίσουμε να παρακολουθούμε την υγεία,0.020903703,0.424,0.381,partially
Τι ένιωσε η Αμαλία όταν πίστεψε πως είχαν φτάσει στο χείλος του γκρεμού ;,πως θα λιποθυμούσε, πανικός του τέλους.,0.382206827,0.392,0,no
Βλέπουμε σήμερα κοπάδια από φώκιες στις παραλίες;,Όχι, τροφή,0.00312263,0.387,0,no
Πώς τελείωσε η περίοδος των Ολυμπιακών αγώνων;,Το 393 μ.Χ. ο αυτοκράτορας Θεοδόσιος απαγόρευσε τη διεξαγωγή τους, απαγόρευσε τη διεξαγωγή τους.,0.65130204,0.384,0.533,partially
Πότε θα πρέπει να απομακρύνεται ένα ψάρι από το ενυδρείο;,Όταν έχει ασθενήσει, άμεσα.,0.792571545,0.376,0,no
Τι κρέμονταν στις άκρες των βράχων;,"λίγα αγριολούλουδα, φασκόμηλο και χαμομήλι"," αγριολούλουδα,",0.002812231,0.37,0.286,partially
Γιατί κάποια ζώα δεν μπορούσαν να σκαρφαλώσουν στους γλιστερούς κορμούς των δέντρων ;,Τα νύχια και οι ουρές τους δε φτιάχτηκαν για σκαρφάλωμα στα δέντρα., φοβόντουσαν μήπως τα πατήσει με τα μεγάλα της πόδια.,0.200554684,0.362,0.091,no
Υπάρχουν σήμερα καλές φωνές ;,"Δεν είναι ζήτημα καλής φωνής όλος ο κόσμος τραγουδάει, όλη η Ελλάδα τραγουδάει στην ταβέρνα τους ακούς και τους χαίρεσαι. ’λλο αυτό, και άλλο να τραγουδάς και να «ακτινοβολεί» αυτό που τραγουδάς.", Πιστεύεις ότι σήμερα υπάρχουν καλές φωνές;,0.1970869,0.361,0,no
Γιατί έβαλε αυτογκόλ ο Τσάρλι ;,Μπέρδεψε τα πόδια του, το ποδόσφαιρο δεν έκανε γι αυτόν.,0.050932184,0.354,0,no
Γιατί τα τροπικά ψάρια είναι επικίνδυνα;,Γιατί αναπτύσσουν μεταδοτικές βακτηριακές λοιμώξεις, αδύναμο ανοσοποιητικό σύστημα.,0.056595121,0.349,0,no
Πώς εποπτεύει ο εργοδότης πόσο γρήγορα πληκτρολογεί ο υπάλληλος ;,"Προγράμματα παρακολούθησης που διατίθενται στην αγορά, διαθέτουν τη δυνατότητα καταγραφής των επιμέρους πλήκτρων του υπολογιστή που πατάει ο κάθε υπάλληλος.", Προγράμματα παρακολούθησης,0.314940333,0.336,0.174,partially
Είχε εχθρούς πριν ο Τζέρεμι μετακόμισει στην γειτονιά ;,όχι, Δεν είχα ποτέ εχθρό,0.521821022,0.299,0,no
Σε τι οφείλεται η καταστροφή των βιότοπων της καρέτα;,Στην άναρχη τουριστική ανάπτυξη," ανθρώπινων δραστηριοτήτων,",0.934342206,0.253,0,no
Ποιές οι συνέπειες από τα αφρόδιχτα;,"Σκοτώνουν κάθε χρόνο χιλιάδες δελφίνια, φάλαινες και θαλασσοπούλια", καταστροφή της ζωής της Μεσογείου.,0.003506867,0.231,0,no
Πότε δημιουργήθηκε ο ναός του Απόλλωνα ;,γύρω στον 6ο αιώνα π.Χ, 480 π.Χ.,0.565837324,0.225,0.25,no
Γιατί οι μελετητές ξεκίνησαν να μελετούν την εποχή του Βυζαντίου;,Για να υποστηρίξουν ότι η συνέχεια του ελληνισμού από την αρχαιότητα ήταν αδιάκοπη, Για να ενισχύσουν αυτή τη θέση,0.118484549,0.215,0.2,no
Κάνει ο Νίκος συναυλίες το καλοκαίρι ;,Οχι, δεν κάνω συναυλίες το καλοκαίρι.,0.666369021,0.174,0,partially
Τι θα αναλύσει η νέα μελέτη;,Τους κινδύνους που εγκυμονούν τα κινητά τηλέφωνα για την υγεία των χρηστών, στοιχεία που αφορούν 250.000 άτομα ηλικίας από 18 έως 69 ετών.,0.65061003,0.173,0.083,no
Τι θα εξετάσει η νέα μελέτη;,Τους κινδύνους που εγκυμονούν τα κινητά τηλέφωνα για την υγεία των χρηστών, στοιχεία που αφορούν 250.000 άτομα ηλικίας από 18 έως 69 ετών.,0.167440847,0.173,0.083,no
Τι πραγματεύεται η νέα μελέτη;,Τους κινδύνους που εγκυμονούν τα κινητά τηλέφωνα για την υγεία των χρηστών, στοιχεία που αφορούν 250.000 άτομα ηλικίας από 18 έως 69 ετών.,0.473676443,0.173,0.083,no
Πόσες χώρες θα συμμετάσχουν στην νέα μελέτη για τα κινητά;,5, η εσωτερική επένδυση,0.001452768,0.165,0,no
Θα επισκεφθεί την Ελλάδα το Rainbow Warrior;,Ναι," πρόκειται επίσης να επισκεφθεί την Ελλάδα,",0.003932476,0.164,0,no
Τι ρώτησε η γαζέλα ;,«Τι μπορούμε να κάνουμε;», «Ο ποταμός δε θα φτάσει στα ψηλά κλαδιά»,0.12794517,0.16,0,no
Πόσο διαρκούσαν οι τελετές των Ολυμπιακών αγώνων;,’ρχιζαν την 11η ημέρα του μήνα και διαρκούσαν μέχρι τη 15η ημέρα, χιλίων χρόνων,0.527538359,0.158,0,no
Πώς μύριζε η εχθροπιτα ;,όμορφα, έκανε την αναπνοή τους να μυρίζει άσχημα.,0.176076561,0.156,0,no
Τι φωναξε στην Γιαν ;,«τι σκοπεύεις να κάνεις το καλοκαίρι;»," «Γεια σου,",0.345455259,0.154,0,no
Τι σκέφτεται ο Νίκος για το μέλλον ;,Όπως τον βρούμε τον καιρό έτσι θα τον αρμενίσουμε, τι σκέφτεσαι για το μέλλον;,0.078233168,0.153,0,no
Τι έκανε η εχθροπιτα στους εχθρούς ;,Ίσως έκανε τα μαλλιά τους να πέφτουν ή έκανε την αναπνοή τους να μυρίζει άσχημα., ξεφορτωθείς τους εχθρούς.».,0.493596762,0.118,0.105,no
Τι πραγματεύεται η εκπομπή;,Τους κινδύνους που ενέχουν τα ενυδρεία καθώς και μέτρα προφύλαξης., τροπικών ψαριών.,0.143549189,0.113,0,no
Μπορεί η φώκια να κοιμηθεί μέσα στο νερό;,Ναι, κοιμηθεί μέσα στο νερό.,0.008050674,0.104,0,no
Από πού προέρχονται τα αιωρούμενα σωματίδια;,"Από τα καυσαέρια αυτοκινήτων, τη βιομηχανία, τη σκόνη από το έδαφος τις αγροτικές δραστηριότητες τις οικοδομικές κατασκευές", στην ατμόσφαιρα,0.11449378,0.1,0,no
Τι ήταν η Επτανησιακή Σχολή;,Ένας κύκλος ανθρώπων που είχαν τις ίδιες απόψεις με το Σολωμό, Επτανησιακή Σχολή.,0.235024273,0.069,0,no
Η κατάχρηση της ψηφιακής τεχνολογίας πρόκειται να περιοριστεί σε συγκεκριμένες μορφές εργασίας ;,όχι, δεν πρόκειται να περιοριστούν σε συγκεκριμένες μορφές εργασίας.,0.183755606,0.067,0,no
Τι είναι το βασιλικό ύδωρ ;,"ίναι μείγμα πυκνού υδροχλωρικού οξέος (HCl) και πυκνού νιτρικού οξέος (HNO3), σε αναλογία μίξης τρια προς ενα.", μείγμα πυκνού,0.132959187,0.052,0.2,no
Σε ποιές χώρες θα πραγματοποιηθεί η νέα μελέτη;,"Σε Βρετανία, Δανία, Ολλανδία, Φινλανδία και Σουηδία", η εσωτερική επένδυση,0.003095955,0.051,0,no
Κάνει ο Νίκος συναυλίες τον χειμώνα ;,Ναι, Κάνεις όμως συναυλίες το χειμώνα!,0.13334091,0.035,0,no
Τι είναι η λαογραφία;,"Η καταγραφή του λαϊκού πολιτισμού, της λαϊκής ζωής και των λαϊκών εθίμων",τανησιακή Σχολή.,0.029019061,-0.007,0,no
Τι πρεπει να γίνει για να δουλέψει η εχθροπιτα ;,πρέπει να περάσεις μια μέρα με τον εχθρό σου., ακόμη δεν ξέρω πώς φτιάχνεται.,0.446345329,-0.041,0,no
Πότε διαμορφώθηκε το νεοκλασικό σπίτι;,Κατά το 19ο αιώνα,"Κατά το 19ο αιώνα""",0.531779706,1,0.75,yes
Πώς σχετίζεται η διάμετρος των αιωρούμενων σωματιδίων με την βλάβη που προκαλούν;,"Όσο πιο μικρή διάμετρο έχουν τα αιωρούμενα σωματίδια, τόσο πιο επιβλαβή αποδεικνύονται για την υγεία",Όσο πιο μικρή διάμετρο έχουν τα αιωρούμενα σωματίδια,0.080172829,0.737,0.609,partially
Πού βρίσκεται ο κόλπος του Μαραθώνα και το λιμάνι της πόλης της Αίγινας ;,Δυτικά και βορειοδυτικά της Αίγινας,"Δυτικά και βορειοδυτικά""",0.70566529,0.885,0.5,partially
Ποιος έπιασε την Αμαλία για να την βοηθήσει ;,Ο χωρικός,"Ο χωρικός""",0.273075849,1,0.5,yes
